distance-to-solar-noon,humidity,sky-cover,average-wind-speed-(period),wind-direction,average-pressure-(period)
0.0759837179999999,49.0,0,15.0,26,30.02
0.320217096,51.0,0,15.0,26,29.98
0.564450475,65.0,1,8.0,26,29.96
0.808683853,67.0,0,6.0,26,29.98
0.902040816,78.0,1,3.0,21,29.99
0.6571428570000001,80.0,1,5.0,21,29.98
0.4122448979999999,80.0,1,3.0,21,29.99
0.167346939,63.0,1,9.0,21,30.0
0.07755102,61.0,3,9.0,21,29.98
0.32244898,63.0,4,10.0,21,29.97
0.567346939,81.0,4,11.0,21,29.98
0.812244898,81.0,3,6.0,21,29.99
0.904502046,87.0,4,8.0,28,30.01
0.65893588,90.0,4,8.0,28,30.01
0.413369714,84.0,4,6.0,28,30.03
0.167803547,70.0,4,9.0,28,30.05
0.077762619,63.0,2,11.0,28,30.03
0.323328786,75.0,3,15.0,28,30.01
0.5688949520000001,87.0,4,14.0,28,30.0
0.8144611190000001,87.0,3,15.0,28,30.0
0.906849315,87.0,3,8.0,27,29.97
0.660273973,81.0,3,13.0,27,29.96
0.41369863,84.0,4,8.0,27,29.98
0.167123288,70.0,2,10.0,27,29.99
0.079452055,65.0,2,20.0,27,29.97
0.326027397,70.0,2,24.0,27,29.96
0.57260274,78.0,1,16.0,27,29.94
0.8191780820000001,84.0,1,11.0,27,29.96
0.909340659,87.0,1,0.0,29,29.96
0.6620879120000001,86.0,0,3.0,29,29.95
0.414835165,81.0,1,0.0,29,30.0
0.167582418,70.0,1,5.0,29,30.02
0.07967033,36.5,1,16.0,29,29.99
0.326923077,48.0,0,17.0,29,29.96
0.574175824,70.0,1,16.0,29,29.95
0.8214285709999999,78.0,0,8.0,29,29.97
0.913103448,81.0,0,6.0,29,29.97
0.664827586,75.0,0,3.0,29,29.96
0.416551724,84.0,1,3.0,29,29.98
0.168275862,73.0,0,5.0,29,29.99
0.08,66.0,0,6.0,29,29.94
0.328275862,37.0,0,21.0,29,29.9
0.576551724,56.0,0,18.0,29,29.91
0.824827586,75.0,0,11.0,29,29.94
0.914246196,84.0,0,3.0,29,29.94
0.665283541,90.0,0,5.0,29,29.92
0.416320885,90.0,1,5.0,29,29.94
0.16735823,66.0,1,3.0,29,29.95
0.081604426,51.0,1,13.0,29,29.92
0.330567082,49.0,1,16.0,29,29.89
0.579529737,56.0,1,16.0,29,29.89
0.828492393,62.0,0,11.0,29,29.92
0.918055556,67.0,0,3.0,29,29.91
0.668055556,80.0,0,6.0,29,29.9
0.418055556,70.0,2,0.0,29,29.93
